"","cmt1","cmt2","cmt3","cmt4","cmt5","cmt6","cmt7","cmt8","cmt9","cmt10","cmt11","cmt12","cmt13","cmt14","cmt15","cmt16","cmt17","cmt18","cmt19","cmt20","cmt21","cmt22","cmt23","cmt24","cmt25","cmt26"
"TCGA-IB-7644-01A",0.132298947516354,-3.76167361588038,0.124165561165915,-0.184588316167117,0.179505655700842,-0.198323451179894,0.248212126379974,0.125267780890786,0.264508534079773,-0.0699985176710825,0.200700438333388,0.219878125499059,-0.439427415284518,-0.268050383144883,-0.298567183114715,-0.00615849994257479,0.245751288106406,-0.831804969658182,-0.164355564305327,0.220072329069945,0.226223108595744,0.108393033121782,-0.391244900888248,-0.0988437155688345,0.24987807483202,-0.178570599730949
"TCGA-2J-AABT-01A",0.271308666826084,0.210803189607333,0.202903034296749,-0.391617389225291,0.0355624175748875,-0.501235044807943,0.242775667036051,0.310434314895436,0.105518572556971,-0.016321533140258,0.397882066108918,-0.102276648765897,0.322314656864975,-0.351256832784403,-0.343086842805841,-0.141525960837563,0.21205306610613,-0.29467225050484,0.00678200784685776,0.239273115076345,0.217851841558318,-0.162737951850675,-0.16616859605537,-0.0575209351318181,0.186498475535197,-0.175555616256151
"TCGA-2J-AAB1-01A",0.143332838884339,0.317393528188026,0.0890482452731439,-0.0251637403238536,0.295843255239819,-0.0147545323749091,0.245785595205178,0.196781276144468,0.371495020103943,-0.337999540373816,0.129510316772039,0.203602612730076,-0.242095771392402,-0.133439907347778,-0.23286990506582,-0.0998647712515747,0.213470917111048,-0.57001905709043,-0.403678114651381,0.194643922212571,0.233546611634372,0.076904093841335,-0.398637414398783,-0.131062031585601,0.250838045915551,-0.233608653545307
"TCGA-HZ-7920-01A",0.278501908010543,0.203157578105072,0.219398037379931,2.40245728268211,0.0806575061543818,-0.521862309573251,0.205114363719371,0.302605401066174,0.0652512270789954,-0.231038504907417,0.355205031115872,1.78440991171059,0.245696071171026,-0.493222098591964,-0.346524954218203,-0.557247793224261,0.14860792899737,0.496132627948015,0.111711979354766,0.229993294363123,0.2114627787407,-0.770714567164389,0.123422849457786,-0.011833262321904,0.235390527644715,-0.138574485770696
"TCGA-3A-A9IL-01A",-4.23017502547783,0.0740350857450578,-0.00676041109334012,4.45158766121036,-4.49452950980695,-0.0931891872563066,-4.00977965697869,-4.00557684796028,-4.22013970931379,4.19278832404918,0.282267104956566,2.90647552697018,-3.3456219589018,-0.384261204755786,-0.314321193410004,-0.270069678824174,-3.81495789107885,4.08885436928076,0.126452897554948,0.0783618536232562,-4.58069781981755,-0.802528427164642,3.73670241704784,0.0169559840539213,0.130103196566375,4.25737417464381
"TCGA-2J-AABI-01A",0.184163349386757,0.295763304410923,0.131874565404546,-0.433802565961913,0.299999496589439,4.64894285018452,0.242563404868855,0.229005050697916,0.197175198202501,-0.144470970313038,0.191652636232263,0.162525813218236,0.266539031458136,-0.0758190457952873,-0.25004071687916,0.121407299827629,0.323713251706908,0.128348593640808,-0.368264356219533,0.257494670904346,0.205092943785457,0.0256553430758639,3.61153257890101,-0.083134595576969,-4.26846348031617,-0.251182748066516
"TCGA-IB-7647-01A",0.260848307794249,0.24191759061669,0.174859355563661,-0.176848383532773,0.153444335610234,-0.0294018641350762,0.223317813269557,0.40503408406167,0.203647431044042,-0.379850458086196,0.253645500143537,0.05157675165997,0.511341775581714,-0.229750916824252,-0.258892203998522,-0.171355766496916,0.271629386968222,0.443104136194442,-0.139464248010119,0.274713632185684,0.202984088855772,-0.349593725532432,-0.268302246509946,-0.073550997886811,0.192143633851915,-0.203214725281813
"TCGA-IB-A5SS-01A",0.232408025502255,0.3188268347618,0.261728081908089,-0.207489750348877,0.202381311143304,0.00840718753023401,0.287099424634456,0.1793955449308,0.169464780457134,-0.272963087697997,0.291070399613663,-0.675622801918964,0.0875860352994687,-0.130082820620402,-0.338463906567353,0.0314519472009842,0.29662589887382,-0.269508690310232,-0.302080686604266,0.288021733135639,0.224609194194018,-0.0273206674291056,-0.195024034202296,-0.107654203896337,0.240485422661165,-0.259063138037009
"TCGA-S4-A8RO-01A",0.167581428016485,0.349601638252021,0.0511642153766835,0.0680679061839187,0.31680953288601,0.166646798321283,0.252048824362634,0.248856364762147,0.334116567433438,-0.513576335696171,0.0954865028903387,-0.160250828544823,-0.113792629731521,0.0130471516342913,-0.191135634431107,0.0278371045029234,0.29284779738499,-0.191903182669346,-0.447893293807274,0.234316111168887,0.192936289774604,2.70509702262199,-0.39098186513742,-0.113517198756945,0.273143147573499,-0.256164648524266
"TCGA-IB-A5ST-01A",0.312233790876438,0.236963238591739,0.268152873342501,-0.155986179732252,0.133792393503638,-0.392608647845036,0.198169411559449,0.367016069198647,0.112054403271401,0.106874276505398,0.375411034587559,-0.251176195547319,0.331573073467298,-0.266463046003337,-0.363020550480094,-0.204037399638591,0.2782529116875,0.00250132260919784,0.148414081697309,0.277300627939055,0.207656030798339,-0.496095136107974,-0.217000012820927,-0.0316639085879494,0.269962795280475,-0.183779830547369
